model,sample_instance_id,anchor_value,condition_class,step_used,layer,mass_anchor,mass_digit,mass_background,digit_over_anchor,run
llava-1.5-7b,269926003_269926_set00,8400,a,1,29,0.05677152797579765,0.031304254312999547,0.025467273662798107,0.5514076409277712,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,30,0.03350318223237991,0.01739307734533213,0.016110104887047783,0.519147023846654,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,31,0.06904096156358719,0.04232508671702817,0.026715874846559018,0.6130431233644752,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,0,0.43297868967056274,0.20138484984636307,0.23159383982419968,0.4651149228604975,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,1,0.2764081656932831,0.13031726144254208,0.146090904250741,0.4714667568365144,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,2,0.1511337161064148,0.07379478203074541,0.07733893407566939,0.4882747803196062,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,3,0.07513333857059479,0.0356855156715028,0.03944782289909199,0.47496246473824566,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,4,0.03979551047086716,0.018166821413615253,0.021628689057251904,0.4565042940437847,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,5,0.0374387763440609,0.01838269524887437,0.019056081095186528,0.4910068395381867,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,6,0.03580891340970993,0.020587405932019465,0.015221507477690466,0.5749240614052531,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,7,0.049773216247558594,0.02974489430198446,0.020028321945574135,0.5976084437469613,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,8,0.06812217831611633,0.04122407175600529,0.026898106560111046,0.6051490538765185,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,9,0.06928103417158127,0.03972778748720884,0.029553246684372425,0.5734294812750498,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,10,0.09042461961507797,0.057710903347469866,0.032713716267608106,0.6382211348318106,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,11,0.11527808010578156,0.06666575826238841,0.04861232184339315,0.5783038562163295,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,12,0.11614077538251877,0.07361449860036373,0.04252627678215504,0.6338385322287422,20260428-100833
llava-1.5-7b,401024000_401024_set00,95,a,4,13,0.12891247868537903,0.07637252658605576,0.05253995209932327,0.5924370345282777,20260428-100833
