experiment,dataset,model,cond_class,stratum,proxy,adopt_increases,df_increases,adopt_q1,adopt_q4,adopt_q4_minus_q1,df_q1,df_q4,df_q4_minus_q1
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S5,top1_minus_top2_margin,0,2,0.0,0.0,0.0,0.024,0.04435483870967742,0.02035483870967742
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S1,entropy_top_k,2,2,0.0,0.0,0.0,0.0,0.20588235294117646,0.20588235294117646
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,1,0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,1,0,0.04878048780487805,0.047619047619047616,-0.001161440185830434,0.2,0.046511627906976744,-0.15348837209302327
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S2,entropy_top_k,2,2,0.0,0.020833333333333332,0.020833333333333332,0.02040816326530612,0.22857142857142856,0.20816326530612245
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,0,1,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,1,2,0.0,0.02040816326530612,0.02040816326530612,0.13953488372093023,0.043478260869565216,-0.09605662285136501
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S3,entropy_top_k,1,3,0.0,0.08,0.08,0.04081632653061224,0.3157894736842105,0.2749731471535983
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,0,2,0.1,0.0,-0.1,0.25,0.2222222222222222,-0.02777777777777779
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,1,1,0.04,0.0,-0.04,0.25,0.10416666666666667,-0.14583333333333331
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S4,entropy_top_k,0,2,0.0,0.0,0.0,0.02040816326530612,0.23684210526315788,0.21643394199785176
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S4,softmax_top1_prob,0,1,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,0,2,0.0,0.0,0.0,0.13333333333333333,0.14583333333333334,0.012500000000000011
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S5,entropy_top_k,1,2,0.0,0.02,0.02,0.0,0.1891891891891892,0.1891891891891892
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,0,1,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
experiment_e5d_chartqa_validation,ChartQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,1,1,0.0,0.0,0.0,0.11363636363636363,0.10638297872340426,-0.007253384912959376
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S1,entropy_top_k,3,2,0.045454545454545456,0.15625,0.11079545454545454,0.029411764705882353,0.27586206896551724,0.24645030425963488
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S1,softmax_top1_prob,1,1,0.0,0.0,0.0,0.07142857142857142,0.0,-0.07142857142857142
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,2,1,0.12903225806451613,0.13043478260869565,0.001402524544179523,0.23333333333333334,0.14705882352941177,-0.08627450980392157
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S2,entropy_top_k,1,2,0.05405405405405406,0.13513513513513514,0.08108108108108109,0.07894736842105263,0.375,0.29605263157894735
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S2,softmax_top1_prob,2,2,0.0,0.07142857142857142,0.07142857142857142,0.0,0.23076923076923078,0.23076923076923078
experiment_e5d_mathvista_validation,MathVista,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,2,1,0.027777777777777776,0.05263157894736842,0.024853801169590642,0.2727272727272727,0.1891891891891892,-0.08353808353808351
